fipscode,last,party,votepct
01121,Trump,GOP,0.624228
01121,Biden,Dem,0.368838
01121,Jorgensen,Lib,0.006934
01123,Trump,GOP,0.714156
01123,Biden,Dem,0.279639
01123,Jorgensen,Lib,0.006205
01125,Trump,GOP,0.569175
01125,Biden,Dem,0.420504
01125,Jorgensen,Lib,0.010322
01127,Trump,GOP,0.835728
01127,Biden,Dem,0.155369
01127,Jorgensen,Lib,0.008903
01129,Trump,GOP,0.740273
01129,Biden,Dem,0.254652
01129,Jorgensen,Lib,0.005075
01131,Trump,GOP,0.310783
01131,Biden,Dem,0.686334
01131,Jorgensen,Lib,0.002882
01133,Trump,GOP,0.904534
01133,Biden,Dem,0.086416
01133,Jorgensen,Lib,0.00905
05001,Trump,GOP,0.684043
05001,Biden,Dem,0.288938
05001,Jorgensen,Lib,0.007311
05001,La Riva,PSL,0.003655
05001,Collins,Ind,0.003497
05001,West,Ind,0.00302
05001,Hawkins,Grn,0.002543
05001,Gammon,Ind,0.002066
05001,Blankenship,CST,0.00143
05001,Carroll,ASP,0.001113
05001,De La Fuente,Ind,0.001113
05001,Pierce,Ind,0.000636
05001,Myers,Oth,0.000636
05003,Trump,GOP,0.699975
05003,Biden,Dem,0.268105
05003,Collins,Ind,0.005551
05003,West,Ind,0.005425
05003,Gammon,Ind,0.00429
05003,Blankenship,CST,0.003785
05003,La Riva,PSL,0.003407
05003,Jorgensen,Lib,0.003154
05003,Myers,Oth,0.002145
05003,Carroll,ASP,0.001262
05003,Hawkins,Grn,0.001136
05003,De La Fuente,Ind,0.001136
05003,Pierce,Ind,0.000631
05005,Trump,GOP,0.753844
05005,Biden,Dem,0.220641
05005,Jorgensen,Lib,0.008711
05005,Blankenship,CST,0.003713
05005,West,Ind,0.003427
05005,Hawkins,Grn,0.002047
05005,Pierce,Ind,0.001952
05005,Collins,Ind,0.001476
05005,Carroll,ASP,0.001285
05005,De La Fuente,Ind,0.001142
05005,Gammon,Ind,0.000762
05005,Myers,Oth,0.000524
05005,La Riva,PSL,0.000476
05007,Trump,GOP,0.616827
05007,Biden,Dem,0.352333
05007,Jorgensen,Lib,0.016445
05007,West,Ind,0.002694
05007,Hawkins,Grn,0.00231
05007,Pierce,Ind,0.002293
05007,Carroll,ASP,0.001418
05007,De La Fuente,Ind,0.001276
05007,Collins,Ind,0.000967
05007,Blankenship,CST,0.000959
05007,La Riva,PSL,0.000876
05007,Gammon,Ind,0.000851
05007,Myers,Oth,0.000751
05009,Trump,GOP,0.797709
05009,Biden,Dem,0.179035
05009,Jorgensen,Lib,0.00894
05009,Hawkins,Grn,0.003214
05009,West,Ind,0.002279
05009,Carroll,ASP,0.002162
05009,Collins,Ind,0.001285
05009,Gammon,Ind,0.001227
05009,Pierce,Ind,0.001169
05009,Blankenship,CST,0.000993
05009,Myers,Oth,0.00076
05009,De La Fuente,Ind,0.000701
05009,La Riva,PSL,0.000526
05011,Trump,GOP,0.639026
05011,Biden,Dem,0.332239
05011,Jorgensen,Lib,0.009031
05011,West,Ind,0.004105
05011,La Riva,PSL,0.003831
05011,Pierce,Ind,0.002737
05011,Collins,Ind,0.002737
05011,Blankenship,CST,0.002189
05011,Carroll,ASP,0.001642
05011,Hawkins,Grn,0.001095
05011,Myers,Oth,0.001095
05011,Gammon,Ind,0.000274
05011,De La Fuente,Ind,0.0
05013,Trump,GOP,0.749771
05013,Biden,Dem,0.219523
05013,Jorgensen,Lib,0.007333
05013,West,Ind,0.0055
05013,Pierce,Ind,0.004125
05013,Hawkins,Grn,0.003666
05013,Collins,Ind,0.00275
05013,Gammon,Ind,0.001833
05013,Carroll,ASP,0.001375
05013,De La Fuente,Ind,0.001375
05013,Blankenship,CST,0.000917
05013,Myers,Oth,0.000917
05013,La Riva,PSL,0.000917
05015,Trump,GOP,0.629313
05015,Biden,Dem,0.341019
05015,Jorgensen,Lib,0.008477
05015,Hawkins,Grn,0.004069
05015,West,Ind,0.003391
05015,Myers,Oth,0.002543
05015,Carroll,ASP,0.002373
05015,Blankenship,CST,0.002204
05015,Collins,Ind,0.001865
05015,De La Fuente,Ind,0.001865
05015,Gammon,Ind,0.001695
05015,Pierce,Ind,0.000763
05015,La Riva,PSL,0.000424
05017,Trump,GOP,0.427005
05017,Biden,Dem,0.550816
05017,West,Ind,0.004874
05017,Jorgensen,Lib,0.004143
05017,Pierce,Ind,0.0039
05017,Carroll,ASP,0.00195
05017,La Riva,PSL,0.001706
05017,Blankenship,CST,0.001219
05017,Hawkins,Grn,0.001219
05017,Collins,Ind,0.001219
05017,Myers,Oth,0.000975
05017,De La Fuente,Ind,0.000487
05017,Gammon,Ind,0.000487
05019,Trump,GOP,0.549851
05019,Biden,Dem,0.409529
05019,Jorgensen,Lib,0.00941
05019,Collins,Ind,0.007862
05019,Hawkins,Grn,0.005718
05019,West,Ind,0.004407
05019,Blankenship,CST,0.003454
05019,Carroll,ASP,0.002859
05019,De La Fuente,Ind,0.001549
05019,Gammon,Ind,0.001429
05019,La Riva,PSL,0.001429
05019,Myers,Oth,0.00131
05019,Pierce,Ind,0.001191
05021,Trump,GOP,0.788347
05021,Biden,Dem,0.185607
05021,Jorgensen,Lib,0.010226
05021,Blankenship,CST,0.003666
05021,Collins,Ind,0.002508
05021,Hawkins,Grn,0.002122
05021,West,Ind,0.002122
05021,Pierce,Ind,0.001736
05021,Myers,Oth,0.001544
05021,Gammon,Ind,0.000772
05021,Carroll,ASP,0.000579
05021,La Riva,PSL,0.000579
05021,De La Fuente,Ind,0.000193
05023,Trump,GOP,0.814511
05023,Biden,Dem,0.156782
05023,Jorgensen,Lib,0.008281
05023,Collins,Ind,0.005836
05023,Blankenship,CST,0.004495
05023,West,Ind,0.002287
05023,Carroll,ASP,0.00205
05023,Gammon,Ind,0.001972
05023,Myers,Oth,0.001498
05023,Hawkins,Grn,0.000789
05023,Pierce,Ind,0.000789
05023,De La Fuente,Ind,0.000552
05023,La Riva,PSL,0.000158
05025,Trump,GOP,0.796389
05025,Biden,Dem,0.180833
05025,Jorgensen,Lib,0.0075
05025,Pierce,Ind,0.003056
05025,Hawkins,Grn,0.002222
05025,Collins,Ind,0.002222
05025,Myers,Oth,0.002222
05025,Blankenship,CST,0.001389
05025,De La Fuente,Ind,0.001389
05025,West,Ind,0.001389
05025,Carroll,ASP,0.000556
05025,Gammon,Ind,0.000556
05025,La Riva,PSL,0.000278
05027,Trump,GOP,0.638347
05027,Biden,Dem,0.326602
05027,Hawkins,Grn,0.00824
05027,Jorgensen,Lib,0.006151
05027,Blankenship,CST,0.005455
05027,De La Fuente,Ind,0.003134
05027,Collins,Ind,0.003018
05027,West,Ind,0.002205
05027,Carroll,ASP,0.001973
05027,La Riva,PSL,0.001393
