year,unemployment,key
2021,0.027999999999999997,01001
2021,0.03,01003
2021,0.057,01005
2021,0.035,01007
2021,0.024,01009
2021,0.04,01011
2021,0.053,01013
2021,0.040999999999999995,01015
2021,0.037000000000000005,01017
2021,0.025,01019
2021,0.028999999999999998,01021
2021,0.044000000000000004,01023
2021,0.06,01025
2021,0.027000000000000003,01027
2021,0.026000000000000002,01029
2021,0.027999999999999997,01031
2021,0.04,01033
2021,0.048,01035
2021,0.031,01037
2021,0.03,01039
2021,0.033,01041
2021,0.024,01043
2021,0.031,01045
2021,0.07400000000000001,01047
2021,0.025,01049
2021,0.027000000000000003,01051
2021,0.040999999999999995,01053
2021,0.040999999999999995,01055
2021,0.031,01057
2021,0.025,01059
2021,0.027999999999999997,01061
2021,0.069,01063
2021,0.057,01065
2021,0.032,01067
2021,0.034,01069
2021,0.028999999999999998,01071
2021,0.036000000000000004,01073
2021,0.03,01075
2021,0.032,01077
2021,0.028999999999999998,01079
2021,0.027999999999999997,01081
2021,0.025,01083
2021,0.092,01085
2021,0.06,01087
2021,0.027000000000000003,01089
2021,0.042,01091
2021,0.027999999999999997,01093
2021,0.024,01095
2021,0.047,01097
2021,0.055999999999999994,01099
2021,0.049,01101
2021,0.026000000000000002,01103
2021,0.083,01105
2021,0.040999999999999995,01107
2021,0.032,01109
2021,0.027000000000000003,01111
2021,0.031,01113
2021,0.026000000000000002,01115
2021,0.021,01117
2021,0.045,01119
2021,0.040999999999999995,01121
2021,0.04,01123
2021,0.036000000000000004,01125
2021,0.036000000000000004,01127
2021,0.047,01129
2021,0.11,01131
2021,0.027999999999999997,01133
2021,0.023,02013
2021,0.036000000000000004,02016
2021,0.057999999999999996,02020
2021,0.131,02050
2021,0.055999999999999994,02060
2021,0.067,02063
2021,0.08900000000000001,02066
2021,0.10099999999999999,02068
2021,0.08199999999999999,02070
2021,0.05,02090
2021,0.113,02100
2021,0.09300000000000001,02105
2021,0.047,02110
2021,0.073,02122
2021,0.07400000000000001,02130
2021,0.064,02150
2021,0.19899999999999998,02158
2021,0.08900000000000001,02164
2021,0.068,02170
2021,0.09699999999999999,02180
2021,0.063,02185
2021,0.115,02188
2021,0.07,02195
2021,0.08,02198
2021,0.045,02220
2021,0.142,02230
2021,0.066,02240
2021,0.075,02275
2021,0.071,02282
2021,0.124,02290
2021,0.091,04001
2021,0.048,04003
2021,0.06,04005
2021,0.05,04007
2021,0.040999999999999995,04009
2021,0.04,04011
2021,0.051,04012
2021,0.045,04013
2021,0.055,04015
2021,0.065,04017
2021,0.05,04019
2021,0.047,04021
2021,0.087,04023
2021,0.040999999999999995,04025
2021,0.129,04027
2021,0.034,05001
2021,0.07400000000000001,05003
2021,0.037000000000000005,05005
2021,0.027999999999999997,05007
2021,0.03,05009
2021,0.047,05011
2021,0.033,05013
2021,0.034,05015
2021,0.086,05017
2021,0.047,05019
2021,0.04,05021
2021,0.046,05023
2021,0.04,05025
2021,0.053,05027
2021,0.042,05029
2021,0.033,05031
2021,0.036000000000000004,05033
2021,0.054000000000000006,05035
2021,0.044000000000000004,05037
2021,0.040999999999999995,05039
2021,0.059000000000000004,05041
2021,0.05,05043
2021,0.035,05045
2021,0.037000000000000005,05047
2021,0.036000000000000004,05049
2021,0.05,05051
2021,0.032,05053
2021,0.034,05055
2021,0.035,05057
2021,0.039,05059
2021,0.032,05061
2021,0.039,05063
2021,0.054000000000000006,05065
